Date,Advances,Declines,Unchanged,Advance Decline Ratio
12-Sep-2012,971,1032,99,0.941
13-Sep-2012,959,1140,106,0.841
14-Sep-2012,562,1482,41,0.379
17-Sep-2012,1014,1033,30,0.982
18-Sep-2012,1115,943,129,1.182
19-Sep-2012,1047,942,78,1.111
20-Sep-2012,767,1215,92,0.631
21-Sep-2012,1096,976,21,1.123
24-Sep-2012,653,1321,48,0.494
25-Sep-2012,544,1548,92,0.351
26-Sep-2012,1342,749,42,1.792
27-Sep-2012,925,980,21,0.944
28-Sep-2012,727,1242,122,0.585
01-Oct-2012,678,1385,24,0.49
02-Oct-2012,445,1564,51,0.285
03-Oct-2012,964,981,63,0.983
04-Oct-2012,1290,731,113,1.765
05-Oct-2012,1045,1026,101,1.019
08-Oct-2012,949,976,108,0.972
09-Oct-2012,501,1579,110,0.317
10-Oct-2012,864,1134,113,0.762
11-Oct-2012,641,1364,33,0.47
12-Oct-2012,1323,723,78,1.83
15-Oct-2012,793,1128,120,0.703
16-Oct-2012,782,1285,83,0.609
17-Oct-2012,241,1839,90,0.131
18-Oct-2012,857,1147,108,0.747
19-Oct-2012,1232,704,42,1.75
22-Oct-2012,828,1130,51,0.733
23-Oct-2012,881,1176,98,0.749
24-Oct-2012,911,1121,120,0.813
25-Oct-2012,884,1160,120,0.762
26-Oct-2012,995,923,58,1.078
29-Oct-2012,678,1255,129,0.54
30-Oct-2012,444,1623,44,0.274
31-Oct-2012,876,1145,73,0.765
01-Nov-2012,925,1173,22,0.789
02-Nov-2012,512,1577,89,0.325
05-Nov-2012,755,1191,65,0.634
06-Nov-2012,848,1112,66,0.763
07-Nov-2012,964,1020,73,0.945
08-Nov-2012,941,1012,42,0.93
09-Nov-2012,1251,708,118,1.767
12-Nov-2012,813,1124,106,0.723
13-Nov-2012,687,1245,123,0.552
14-Nov-2012,1214,736,113,1.649
15-Nov-2012,285,1700,78,0.168
16-Nov-2012,1212,872,47,1.39
19-Nov-2012,601,1413,119,0.425
20-Nov-2012,1032,1056,68,0.977
21-Nov-2012,390,1592,120,0.245
22-Nov-2012,620,1317,118,0.471
23-Nov-2012,865,1175,126,0.736
26-Nov-2012,1213,783,125,1.549
27-Nov-2012,1010,967,129,1.044
28-Nov-2012,1079,826,114,1.306
29-Nov-2012,585,1439,58,0.407
30-Nov-2012,647,1341,74,0.482
03-Dec-2012,986,952,37,1.036
04-Dec-2012,831,1126,111,0.738
05-Dec-2012,496,1459,84,0.34
06-Dec-2012,393,1578,88,0.249
07-Dec-2012,1042,1014,69,1.028
10-Dec-2012,1340,565,105,2.372
11-Dec-2012,822,1249,34,0.658
12-Dec-2012,853,1118,123,0.763
13-Dec-2012,851,1105,87,0.77
14-Dec-2012,455,1546,38,0.294
17-Dec-2012,608,1405,51,0.433
18-Dec-2012,1201,863,102,1.392
19-Dec-2012,879,1195,44,0.736
20-Dec-2012,709,1351,99,0.525
21-Dec-2012,478,1548,31,0.309
24-Dec-2012,1564,341,127,4.587
25-Dec-2012,931,985,126,0.945
26-Dec-2012,1087,971,58,1.119
27-Dec-2012,570,1456,20,0.391
28-Dec-2012,860,1185,77,0.726
31-Dec-2012,905,1021,41,0.886
01-Jan-2013,961,950,75,1.012
02-Jan-2013,1235,834,73,1.481
03-Jan-2013,850,1102,91,0.771
04-Jan-2013,377,1570,99,0.24
07-Jan-2013,1013,975,47,1.039
08-Jan-2013,431,1503,89,0.287
09-Jan-2013,1210,733,33,1.651
10-Jan-2013,540,1430,127,0.378
11-Jan-2013,906,1169,112,0.775
14-Jan-2013,855,1066,40,0.802
15-Jan-2013,998,922,43,1.082
16-Jan-2013,579,1372,83,0.422
17-Jan-2013,827,1189,124,0.696
18-Jan-2013,530,1474,42,0.36
21-Jan-2013,932,1059,83,0.88
22-Jan-2013,937,1091,75,0.859
23-Jan-2013,899,1136,82,0.791
24-Jan-2013,1067,854,118,1.249
25-Jan-2013,880,1140,114,0.772
28-Jan-2013,675,1360,101,0.496
29-Jan-2013,854,1082,38,0.789
30-Jan-2013,538,1432,105,0.376
31-Jan-2013,595,1313,57,0.453
01-Feb-2013,1070,851,116,1.257
04-Feb-2013,915,1137,105,0.805
05-Feb-2013,1391,599,129,2.322
06-Feb-2013,1126,774,23,1.455
07-Feb-2013,494,1565,118,0.316
08-Feb-2013,877,1166,70,0.752
11-Feb-2013,981,1005,116,0.976
12-Feb-2013,702,1201,110,0.585
13-Feb-2013,866,1096,42,0.79
14-Feb-2013,720,1282,42,0.562
15-Feb-2013,405,1649,87,0.246
18-Feb-2013,1095,924,36,1.185
19-Feb-2013,860,1095,88,0.785
20-Feb-2013,1426,596,25,2.393
21-Feb-2013,1029,1050,42,0.98
22-Feb-2013,760,1172,88,0.648
25-Feb-2013,845,1121,86,0.754
26-Feb-2013,859,1098,90,0.782
27-Feb-2013,559,1349,69,0.414
28-Feb-2013,546,1389,27,0.393
01-Mar-2013,983,942,81,1.044
04-Mar-2013,969,973,34,0.996
05-Mar-2013,1081,948,102,1.14
06-Mar-2013,1221,793,34,1.54
07-Mar-2013,914,1182,80,0.773
08-Mar-2013,1113,791,63,1.407
11-Mar-2013,1278,756,65,1.69
12-Mar-2013,903,1170,22,0.772
13-Mar-2013,599,1493,104,0.401
14-Mar-2013,779,1126,25,0.692
15-Mar-2013,888,1166,79,0.762
18-Mar-2013,1074,918,63,1.17
19-Mar-2013,523,1401,65,0.373
20-Mar-2013,455,1542,21,0.295
21-Mar-2013,648,1262,53,0.513
22-Mar-2013,246,1745,60,0.141
25-Mar-2013,834,1104,118,0.755
26-Mar-2013,620,1280,51,0.484
27-Mar-2013,354,1677,116,0.211
28-Mar-2013,406,1495,29,0.272
29-Mar-2013,1000,971,92,1.03
01-Apr-2013,601,1380,84,0.436
02-Apr-2013,1016,932,79,1.09
03-Apr-2013,852,1142,97,0.746
04-Apr-2013,1181,844,126,1.399
05-Apr-2013,1353,634,72,2.134
08-Apr-2013,807,1261,104,0.64
09-Apr-2013,1054,1021,65,1.032
10-Apr-2013,829,1220,69,0.68
11-Apr-2013,641,1345,43,0.477
12-Apr-2013,939,1142,53,0.822
15-Apr-2013,517,1462,68,0.354
16-Apr-2013,880,1032,121,0.853
17-Apr-2013,1466,502,79,2.92
18-Apr-2013,711,1191,58,0.597
19-Apr-2013,426,1553,114,0.274
22-Apr-2013,864,1162,47,0.744
23-Apr-2013,821,1157,104,0.71
24-Apr-2013,1030,982,29,1.049
25-Apr-2013,949,1101,122,0.862
26-Apr-2013,609,1333,47,0.457
29-Apr-2013,684,1293,25,0.529
30-Apr-2013,409,1639,111,0.25
01-May-2013,791,1191,124,0.664
02-May-2013,1318,744,125,1.772
03-May-2013,738,1280,48,0.577
06-May-2013,953,1042,114,0.915
07-May-2013,590,1372,84,0.43
08-May-2013,1006,934,75,1.077
09-May-2013,494,1530,60,0.323
10-May-2013,385,1580,87,0.244
13-May-2013,889,1188,102,0.748
14-May-2013,860,1082,89,0.795
15-May-2013,351,1587,51,0.221
16-May-2013,678,1381,56,0.491
17-May-2013,1262,801,98,1.576
20-May-2013,882,1122,86,0.786
21-May-2013,599,1419,29,0.422
22-May-2013,670,1301,39,0.515
23-May-2013,843,1128,26,0.747
24-May-2013,806,1212,40,0.665
27-May-2013,532,1548,76,0.344
28-May-2013,1348,657,52,2.052
29-May-2013,1046,997,29,1.049
30-May-2013,570,1509,75,0.378
31-May-2013,520,1478,89,0.352
03-Jun-2013,1404,593,87,2.368
04-Jun-2013,758,1259,52,0.602
05-Jun-2013,837,1206,35,0.694
06-Jun-2013,441,1552,25,0.284
07-Jun-2013,564,1517,81,0.372
10-Jun-2013,168,1780,89,0.094
11-Jun-2013,136,1925,30,0.071
12-Jun-2013,376,1664,44,0.226
13-Jun-2013,987,964,56,1.024
14-Jun-2013,520,1430,125,0.364
17-Jun-2013,508,1510,54,0.336
18-Jun-2013,1514,413,45,3.666
19-Jun-2013,685,1332,36,0.514
20-Jun-2013,677,1243,103,0.545
21-Jun-2013,908,999,58,0.909
24-Jun-2013,599,1343,54,0.446
25-Jun-2013,874,1178,40,0.742
26-Jun-2013,1306,603,124,2.166
27-Jun-2013,671,1236,74,0.543
28-Jun-2013,550,1401,72,0.393
01-Jul-2013,1349,584,89,2.31
02-Jul-2013,858,1222,33,0.702
03-Jul-2013,394,1699,25,0.232
04-Jul-2013,850,1127,56,0.754
05-Jul-2013,1176,825,36,1.425
08-Jul-2013,1028,1070,41,0.961
09-Jul-2013,868,1228,123,0.707
10-Jul-2013,743,1351,46,0.55
11-Jul-2013,494,1488,32,0.332
12-Jul-2013,837,1075,52,0.779
15-Jul-2013,1380,553,125,2.495
16-Jul-2013,616,1453,123,0.424
17-Jul-2013,910,1032,114,0.882
18-Jul-2013,768,1186,61,0.648
19-Jul-2013,738,1236,85,0.597
22-Jul-2013,1050,1045,105,1.005
23-Jul-2013,456,1607,50,0.284
24-Jul-2013,764,1274,108,0.6
25-Jul-2013,599,1364,71,0.439
26-Jul-2013,1046,1018,36,1.028
29-Jul-2013,982,1093,44,0.898
30-Jul-2013,860,1055,56,0.815
31-Jul-2013,399,1601,97,0.249
01-Aug-2013,997,1060,26,0.941
02-Aug-2013,1013,990,79,1.023
05-Aug-2013,1192,857,86,1.391
06-Aug-2013,403,1674,128,0.241
07-Aug-2013,1370,586,59,2.338
08-Aug-2013,750,1268,84,0.591
09-Aug-2013,627,1314,122,0.477
12-Aug-2013,797,1229,95,0.648
13-Aug-2013,907,994,87,0.912
14-Aug-2013,1077,893,53,1.206
15-Aug-2013,545,1359,95,0.401
16-Aug-2013,739,1330,98,0.556
19-Aug-2013,701,1324,94,0.529
20-Aug-2013,635,1414,37,0.449
21-Aug-2013,515,1394,21,0.369
22-Aug-2013,651,1268,41,0.513
23-Aug-2013,1088,999,30,1.089
26-Aug-2013,692,1215,91,0.57
27-Aug-2013,732,1326,127,0.552
28-Aug-2013,739,1356,61,0.545
29-Aug-2013,575,1476,26,0.39
30-Aug-2013,531,1466,108,0.362
02-Sep-2013,805,1193,57,0.675
03-Sep-2013,139,1893,126,0.073
04-Sep-2013,331,1751,52,0.189
05-Sep-2013,1109,892,74,1.243
06-Sep-2013,587,1464,81,0.401
09-Sep-2013,600,1327,112,0.452
10-Sep-2013,918,1023,73,0.897
11-Sep-2013,445,1633,110,0.273
12-Sep-2013,1209,726,89,1.665
13-Sep-2013,1225,869,39,1.41
16-Sep-2013,534,1462,40,0.365
17-Sep-2013,886,1174,114,0.755
18-Sep-2013,1270,679,67,1.87
19-Sep-2013,1391,531,39,2.62
20-Sep-2013,366,1565,86,0.234
23-Sep-2013,650,1368,52,0.475
24-Sep-2013,703,1202,31,0.585
25-Sep-2013,617,1374,65,0.449
26-Sep-2013,445,1623,116,0.274
27-Sep-2013,544,1386,106,0.392
30-Sep-2013,696,1374,109,0.507
01-Oct-2013,908,1006,47,0.903
02-Oct-2013,1036,883,61,1.173
03-Oct-2013,953,969,48,0.983
04-Oct-2013,881,1027,41,0.858
07-Oct-2013,430,1524,103,0.282
08-Oct-2013,1369,535,20,2.559
09-Oct-2013,632,1391,20,0.454
10-Oct-2013,549,1460,91,0.376
11-Oct-2013,1102,955,62,1.154
14-Oct-2013,1156,923,62,1.252
15-Oct-2013,717,1308,52,0.548
16-Oct-2013,667,1296,22,0.515
17-Oct-2013,1142,851,128,1.342
18-Oct-2013,1195,754,105,1.585
21-Oct-2013,613,1478,22,0.415
22-Oct-2013,1030,1034,56,0.996
23-Oct-2013,592,1460,61,0.405
24-Oct-2013,517,1527,21,0.339
25-Oct-2013,544,1390,32,0.391
28-Oct-2013,1133,826,23,1.372
29-Oct-2013,880,1068,45,0.824
30-Oct-2013,1274,815,101,1.563
31-Oct-2013,730,1290,31,0.566
01-Nov-2013,946,1092,52,0.866
04-Nov-2013,803,1242,63,0.647
05-Nov-2013,721,1363,23,0.529
06-Nov-2013,890,1049,86,0.848
07-Nov-2013,807,1283,120,0.629
08-Nov-2013,881,1181,104,0.746
11-Nov-2013,988,948,107,1.042
12-Nov-2013,1056,944,110,1.119
13-Nov-2013,788,1177,41,0.669
14-Nov-2013,703,1232,70,0.571
15-Nov-2013,1000,1017,103,0.983
18-Nov-2013,1195,738,62,1.619
19-Nov-2013,688,1213,72,0.567
20-Nov-2013,995,1102,67,0.903
21-Nov-2013,1157,873,93,1.325
22-Nov-2013,1030,1022,102,1.008
25-Nov-2013,506,1526,98,0.332
26-Nov-2013,714,1196,43,0.597
27-Nov-2013,984,953,53,1.033
28-Nov-2013,556,1521,69,0.366
29-Nov-2013,837,1218,58,0.687
02-Dec-2013,757,1239,81,0.611
03-Dec-2013,539,1548,97,0.348
04-Dec-2013,824,1121,121,0.735
05-Dec-2013,1311,701,92,1.87
06-Dec-2013,946,994,112,0.952
09-Dec-2013,796,1247,57,0.638
10-Dec-2013,667,1432,92,0.466
11-Dec-2013,541,1359,64,0.398
12-Dec-2013,469,1515,34,0.31
13-Dec-2013,785,1214,117,0.647
16-Dec-2013,656,1264,110,0.519
17-Dec-2013,532,1493,62,0.356
18-Dec-2013,765,1311,129,0.584
19-Dec-2013,790,1116,35,0.708
20-Dec-2013,793,1288,20,0.616
23-Dec-2013,690,1221,45,0.565
24-Dec-2013,324,1767,99,0.183
25-Dec-2013,975,1119,64,0.871
26-Dec-2013,769,1150,76,0.669
27-Dec-2013,880,1020,90,0.863
30-Dec-2013,873,1200,36,0.728
31-Dec-2013,1184,818,73,1.447
01-Jan-2014,833,1161,33,0.717
02-Jan-2014,726,1345,57,0.54
03-Jan-2014,454,1509,92,0.301
06-Jan-2014,1047,865,89,1.21
07-Jan-2014,474,1493,115,0.317
08-Jan-2014,1189,794,77,1.497
09-Jan-2014,194,1722,113,0.113
10-Jan-2014,814,1175,47,0.693
13-Jan-2014,661,1241,93,0.533
14-Jan-2014,482,1457,26,0.331
15-Jan-2014,783,1228,84,0.638
16-Jan-2014,838,1131,58,0.741
17-Jan-2014,1096,965,37,1.136
20-Jan-2014,774,1131,39,0.684
21-Jan-2014,1268,650,100,1.951
22-Jan-2014,660,1353,99,0.488
23-Jan-2014,886,1211,93,0.732
24-Jan-2014,598,1473,24,0.406
27-Jan-2014,1004,931,69,1.078
28-Jan-2014,754,1318,122,0.572
29-Jan-2014,675,1296,56,0.521
30-Jan-2014,839,1115,64,0.752
31-Jan-2014,834,1120,57,0.745
03-Feb-2014,706,1350,119,0.523
04-Feb-2014,1247,797,53,1.565
05-Feb-2014,472,1603,30,0.294
06-Feb-2014,787,1147,58,0.686
07-Feb-2014,881,1081,102,0.815
10-Feb-2014,582,1392,103,0.418
11-Feb-2014,1152,915,94,1.259
12-Feb-2014,774,1197,67,0.647
13-Feb-2014,974,1074,34,0.907
14-Feb-2014,797,1184,129,0.673
17-Feb-2014,554,1461,109,0.379
18-Feb-2014,1112,977,82,1.138
19-Feb-2014,699,1325,86,0.528
20-Feb-2014,604,1440,44,0.419
21-Feb-2014,797,1273,49,0.626
24-Feb-2014,817,1167,110,0.7
25-Feb-2014,202,1780,74,0.113
26-Feb-2014,1602,435,93,3.683
27-Feb-2014,441,1616,73,0.273
28-Feb-2014,640,1393,56,0.459
03-Mar-2014,806,1254,62,0.643
04-Mar-2014,725,1260,108,0.575
05-Mar-2014,1312,673,37,1.949
06-Mar-2014,937,1021,82,0.918
07-Mar-2014,766,1165,109,0.658
10-Mar-2014,601,1472,25,0.408
11-Mar-2014,866,1226,50,0.706
12-Mar-2014,1085,1009,51,1.075
13-Mar-2014,476,1436,63,0.331
14-Mar-2014,621,1307,68,0.475
17-Mar-2014,1115,885,22,1.26
18-Mar-2014,1215,804,96,1.511
19-Mar-2014,917,1052,23,0.872
20-Mar-2014,1071,1028,112,1.042
21-Mar-2014,705,1291,33,0.546
24-Mar-2014,880,1191,77,0.739
25-Mar-2014,290,1643,96,0.177
26-Mar-2014,928,1121,123,0.828
27-Mar-2014,812,1272,53,0.638
28-Mar-2014,937,1028,26,0.911
31-Mar-2014,1211,884,75,1.37
01-Apr-2014,451,1633,75,0.276
02-Apr-2014,943,1010,103,0.934
03-Apr-2014,1198,809,72,1.481
04-Apr-2014,1075,902,63,1.192
07-Apr-2014,856,1202,42,0.712
08-Apr-2014,964,966,77,0.998
09-Apr-2014,1256,822,126,1.528
10-Apr-2014,783,1240,87,0.631
11-Apr-2014,935,1059,104,0.883
14-Apr-2014,763,1157,108,0.659
15-Apr-2014,1168,775,20,1.507
16-Apr-2014,782,1217,85,0.643
17-Apr-2014,408,1519,49,0.269
18-Apr-2014,1288,788,24,1.635
21-Apr-2014,877,1098,99,0.799
22-Apr-2014,831,1205,89,0.69
23-Apr-2014,549,1365,38,0.402
24-Apr-2014,720,1240,45,0.581
25-Apr-2014,895,1176,34,0.761
28-Apr-2014,1052,905,62,1.162
29-Apr-2014,830,1146,44,0.724
30-Apr-2014,566,1393,123,0.406
01-May-2014,739,1317,103,0.561
02-May-2014,557,1448,90,0.385
05-May-2014,1046,955,58,1.095
06-May-2014,1054,984,32,1.071
07-May-2014,1071,959,80,1.117
08-May-2014,887,1185,64,0.749
09-May-2014,813,1163,45,0.699
12-May-2014,1159,923,91,1.256
13-May-2014,326,1731,39,0.188
14-May-2014,342,1579,26,0.217
15-May-2014,1017,1050,105,0.969
16-May-2014,722,1206,88,0.599
19-May-2014,1333,654,100,2.038
20-May-2014,666,1335,126,0.499
21-May-2014,846,1193,81,0.709
22-May-2014,514,1570,117,0.327
23-May-2014,609,1469,127,0.415
26-May-2014,803,1286,94,0.624
27-May-2014,776,1302,63,0.596
28-May-2014,963,1117,109,0.862
29-May-2014,728,1213,31,0.6
30-May-2014,1274,796,93,1.601
02-Jun-2014,420,1554,106,0.27
03-Jun-2014,1211,754,36,1.606
04-Jun-2014,523,1463,47,0.357
05-Jun-2014,1169,753,95,1.552
06-Jun-2014,753,1327,99,0.567
09-Jun-2014,722,1351,23,0.534
10-Jun-2014,600,1466,53,0.409
11-Jun-2014,1053,966,56,1.09
12-Jun-2014,704,1318,95,0.534
13-Jun-2014,637,1281,42,0.497
16-Jun-2014,892,1021,70,0.874
17-Jun-2014,854,1089,85,0.784
18-Jun-2014,886,1024,85,0.865
19-Jun-2014,563,1421,122,0.396
20-Jun-2014,623,1429,40,0.436
23-Jun-2014,1016,926,56,1.097
24-Jun-2014,1063,950,30,1.119
25-Jun-2014,1200,733,120,1.637
26-Jun-2014,721,1325,127,0.544
27-Jun-2014,808,1183,73,0.683
30-Jun-2014,981,1071,83,0.916
01-Jul-2014,962,1073,26,0.897
02-Jul-2014,1070,916,64,1.168
03-Jul-2014,1155,899,123,1.285
04-Jul-2014,1157,871,109,1.328
07-Jul-2014,979,939,25,1.043
08-Jul-2014,921,1084,98,0.85
09-Jul-2014,635,1370,38,0.464
10-Jul-2014,555,1379,118,0.402
11-Jul-2014,1020,996,24,1.024
14-Jul-2014,697,1297,96,0.537
15-Jul-2014,826,1198,79,0.689
16-Jul-2014,630,1275,36,0.494
17-Jul-2014,680,1299,53,0.523
18-Jul-2014,470,1461,115,0.322
21-Jul-2014,1107,793,40,1.396
22-Jul-2014,774,1228,33,0.63
23-Jul-2014,1005,972,62,1.034
24-Jul-2014,809,1162,67,0.696
25-Jul-2014,204,1733,105,0.118
28-Jul-2014,679,1360,98,0.499
29-Jul-2014,1134,854,47,1.328
30-Jul-2014,848,1219,126,0.696
31-Jul-2014,975,1019,59,0.957
01-Aug-2014,919,986,60,0.932
04-Aug-2014,1056,1033,56,1.022
05-Aug-2014,1200,798,34,1.504
06-Aug-2014,539,1551,36,0.348
07-Aug-2014,1334,605,68,2.205
08-Aug-2014,405,1580,115,0.256
11-Aug-2014,607,1411,42,0.43
12-Aug-2014,515,1403,104,0.367
13-Aug-2014,679,1400,96,0.485
14-Aug-2014,482,1519,83,0.317
15-Aug-2014,692,1315,50,0.526
18-Aug-2014,1099,945,20,1.163
19-Aug-2014,1095,919,27,1.192
20-Aug-2014,598,1500,28,0.399
21-Aug-2014,1245,719,50,1.732
22-Aug-2014,318,1613,26,0.197
25-Aug-2014,787,1160,129,0.678
26-Aug-2014,939,999,127,0.94
27-Aug-2014,637,1436,129,0.444
28-Aug-2014,913,1106,94,0.825
29-Aug-2014,1238,722,43,1.715
01-Sep-2014,439,1620,32,0.271
02-Sep-2014,633,1268,95,0.499
03-Sep-2014,898,1128,38,0.796
04-Sep-2014,899,1191,55,0.755
05-Sep-2014,762,1284,63,0.593
08-Sep-2014,788,1164,21,0.677
09-Sep-2014,813,1147,22,0.709
10-Sep-2014,763,1219,128,0.626
11-Sep-2014,1274,636,85,2.003
12-Sep-2014,926,1089,35,0.85
15-Sep-2014,819,1144,39,0.716
16-Sep-2014,993,942,32,1.054
17-Sep-2014,641,1388,91,0.462
18-Sep-2014,1270,769,26,1.651
19-Sep-2014,1066,887,31,1.202
22-Sep-2014,714,1292,91,0.553
23-Sep-2014,1126,885,57,1.272
24-Sep-2014,954,975,98,0.978
25-Sep-2014,1430,474,105,3.017
26-Sep-2014,724,1366,44,0.53
29-Sep-2014,795,1195,30,0.665
30-Sep-2014,749,1286,127,0.582
01-Oct-2014,940,1072,83,0.877
02-Oct-2014,888,1208,48,0.735
03-Oct-2014,714,1341,24,0.532
06-Oct-2014,887,1212,127,0.732
07-Oct-2014,1035,997,112,1.038
08-Oct-2014,637,1462,67,0.436
09-Oct-2014,1104,930,97,1.187
10-Oct-2014,913,1123,38,0.813
13-Oct-2014,828,1198,121,0.691
14-Oct-2014,226,1858,60,0.122
15-Oct-2014,615,1298,100,0.474
16-Oct-2014,931,1012,50,0.92
17-Oct-2014,762,1287,36,0.592
20-Oct-2014,536,1546,29,0.347
21-Oct-2014,1070,920,79,1.163
22-Oct-2014,589,1501,105,0.392
23-Oct-2014,406,1642,103,0.247
24-Oct-2014,750,1228,83,0.611
27-Oct-2014,705,1228,35,0.574
28-Oct-2014,930,1019,50,0.913
29-Oct-2014,446,1525,78,0.292
30-Oct-2014,20,2002,48,0.01
31-Oct-2014,662,1310,82,0.505
03-Nov-2014,757,1335,115,0.567
04-Nov-2014,977,975,65,1.002
05-Nov-2014,894,1049,60,0.852
06-Nov-2014,544,1555,76,0.35
07-Nov-2014,804,1228,64,0.655
10-Nov-2014,672,1381,78,0.487
11-Nov-2014,865,1092,99,0.792
12-Nov-2014,769,1300,93,0.592
13-Nov-2014,604,1338,31,0.451
14-Nov-2014,1036,950,97,1.091
17-Nov-2014,463,1606,98,0.288
18-Nov-2014,1050,884,96,1.188
19-Nov-2014,877,1123,90,0.781
20-Nov-2014,268,1671,27,0.16
21-Nov-2014,576,1354,67,0.425
24-Nov-2014,1256,714,44,1.759
25-Nov-2014,821,1104,75,0.744
26-Nov-2014,866,1220,26,0.71
27-Nov-2014,863,1118,92,0.772
28-Nov-2014,603,1373,48,0.439
01-Dec-2014,836,1108,32,0.755
02-Dec-2014,661,1370,47,0.482
03-Dec-2014,1148,785,109,1.462
04-Dec-2014,997,1051,129,0.949
05-Dec-2014,551,1349,120,0.408
08-Dec-2014,423,1572,55,0.269
09-Dec-2014,777,1182,129,0.657
10-Dec-2014,673,1370,119,0.491
11-Dec-2014,873,1108,120,0.788
12-Dec-2014,1006,960,116,1.048
15-Dec-2014,493,1426,63,0.346
16-Dec-2014,407,1641,22,0.248
17-Dec-2014,1170,877,126,1.334
18-Dec-2014,806,1161,118,0.694
19-Dec-2014,769,1292,126,0.595
22-Dec-2014,1304,667,85,1.955
23-Dec-2014,803,1105,73,0.727
24-Dec-2014,326,1703,92,0.191
25-Dec-2014,694,1287,22,0.539
26-Dec-2014,581,1465,52,0.397
29-Dec-2014,361,1545,84,0.234
30-Dec-2014,1173,817,89,1.436
31-Dec-2014,670,1270,99,0.528
01-Jan-2015,640,1445,103,0.443
02-Jan-2015,859,1165,96,0.737
05-Jan-2015,961,1070,63,0.898
06-Jan-2015,800,1274,110,0.628
07-Jan-2015,442,1583,74,0.279
08-Jan-2015,775,1155,44,0.671
09-Jan-2015,862,1230,112,0.701
12-Jan-2015,1475,578,85,2.552
13-Jan-2015,845,1196,84,0.707
14-Jan-2015,770,1176,38,0.655
15-Jan-2015,1558,424,119,3.675
16-Jan-2015,701,1283,56,0.546
19-Jan-2015,690,1316,58,0.524
20-Jan-2015,895,1166,33,0.768
21-Jan-2015,563,1367,95,0.412
22-Jan-2015,513,1513,64,0.339
23-Jan-2015,460,1508,40,0.305
26-Jan-2015,820,1278,42,0.642
27-Jan-2015,478,1578,21,0.303
28-Jan-2015,796,1127,118,0.706
29-Jan-2015,617,1378,65,0.448
30-Jan-2015,1376,684,103,2.012
02-Feb-2015,1051,1032,78,1.018
03-Feb-2015,732,1247,91,0.587
04-Feb-2015,569,1364,29,0.417
05-Feb-2015,901,1036,90,0.87
06-Feb-2015,1011,1029,33,0.983
09-Feb-2015,470,1561,113,0.301
10-Feb-2015,724,1280,80,0.566
11-Feb-2015,561,1348,54,0.416
12-Feb-2015,969,1097,21,0.883
13-Feb-2015,622,1442,23,0.431
16-Feb-2015,1058,882,75,1.2
17-Feb-2015,253,1746,32,0.145
18-Feb-2015,850,1153,129,0.737
19-Feb-2015,1122,939,107,1.195
20-Feb-2015,435,1629,113,0.267
23-Feb-2015,946,1077,27,0.878
24-Feb-2015,1141,931,107,1.226
25-Feb-2015,734,1349,111,0.544
26-Feb-2015,581,1469,89,0.396
27-Feb-2015,785,1178,28,0.666
02-Mar-2015,1066,991,51,1.076
03-Mar-2015,947,982,56,0.964
04-Mar-2015,1289,778,76,1.657
05-Mar-2015,1034,1029,84,1.005
06-Mar-2015,541,1363,95,0.397
09-Mar-2015,985,994,78,0.991
10-Mar-2015,767,1143,41,0.671
11-Mar-2015,1113,914,109,1.218
12-Mar-2015,504,1417,101,0.356
13-Mar-2015,821,1115,113,0.736
16-Mar-2015,727,1277,67,0.569
17-Mar-2015,1116,861,46,1.296
18-Mar-2015,989,979,70,1.01
19-Mar-2015,959,1074,74,0.893
20-Mar-2015,918,1143,40,0.803
23-Mar-2015,871,1130,117,0.771
24-Mar-2015,544,1505,122,0.361
25-Mar-2015,799,1169,57,0.683
26-Mar-2015,744,1163,34,0.64
27-Mar-2015,1171,740,72,1.582
30-Mar-2015,980,1082,43,0.906
31-Mar-2015,884,1162,42,0.761
01-Apr-2015,513,1486,119,0.345
02-Apr-2015,1008,1004,122,1.004
03-Apr-2015,812,1270,91,0.639
06-Apr-2015,1224,813,88,1.506
07-Apr-2015,975,1004,53,0.971
08-Apr-2015,854,1098,38,0.778
09-Apr-2015,1128,839,81,1.344
10-Apr-2015,1222,847,128,1.443
13-Apr-2015,686,1330,94,0.516
14-Apr-2015,407,1640,79,0.248
15-Apr-2015,1099,809,92,1.358
16-Apr-2015,873,1050,30,0.831
17-Apr-2015,599,1410,42,0.425
20-Apr-2015,618,1387,51,0.446
21-Apr-2015,880,1211,122,0.727
22-Apr-2015,481,1458,79,0.33
23-Apr-2015,1579,329,118,4.799
24-Apr-2015,865,1196,98,0.723
27-Apr-2015,935,1026,123,0.911
28-Apr-2015,731,1296,99,0.564
29-Apr-2015,1162,785,84,1.48
30-Apr-2015,534,1409,33,0.379
01-May-2015,1603,327,114,4.902
04-May-2015,700,1251,82,0.56
05-May-2015,700,1399,96,0.5
06-May-2015,839,1189,81,0.706
07-May-2015,1140,838,46,1.36
08-May-2015,751,1346,106,0.558
11-May-2015,818,1204,38,0.679
12-May-2015,604,1335,75,0.452
13-May-2015,1050,1007,91,1.043
14-May-2015,1285,744,128,1.727
15-May-2015,713,1257,64,0.567
18-May-2015,857,1138,129,0.753
19-May-2015,871,1119,108,0.778
20-May-2015,1100,899,63,1.224
21-May-2015,959,962,129,0.997
22-May-2015,1059,867,41,1.221
25-May-2015,1375,636,33,2.162
26-May-2015,935,1082,81,0.864
